hash,author,date,repo,subject,project,confidence,automated
e4073ba327a04bf37de7c9e71a50cbcbb7c35297,Ruben van der Linde,2025-01-06T21:29:57+01:00,larpingapp,Merge pull request #57 from ConductionNL/development,14283/119/01,low,true
d83518d8a3e9eb732bc636d5a704deaaf3fc946b,Ruben van der Linde,2025-01-06T21:29:13+01:00,larpingapp,Update version fix,14283/119/01,low,false
c56a01bc3b8acb4c3173b128bb4d8e8fe3e39faf,Ruben van der Linde,2025-01-06T21:21:59+01:00,larpingapp,Fix in calculations service,14283/119/01,low,false
08a62f4cae2dfb922911f97e6dfe665a698e7e24,Ruben van der Linde,2025-01-02T00:09:10+01:00,larpingapp,Player action menu and delete fix,14283/119/01,low,false
1ad8a4c6fcd56ef576e9021194ffd43300594f22,Ruben van der Linde,2025-01-01T20:32:55+01:00,larpingapp,Adding counters and fixing action dialogs,14283/119/01,low,false
0e51ed442477180a1a0d2f4104be09b7342511d9,github-actions[bot],2025-01-01T15:10:31+00:00,larpingapp,[Changelog CI] Add Changelog for Version 0.1.18,14283/119/01,low,true
d0ff2494d4d1f18223d013130d9f6d4a42098260,GitHub Action,2025-01-01T15:09:24+00:00,larpingapp,Bump version to 0.1.18,14283/119/01,low,true
11c22b55beb976be89709a852ce5929683175107,Ruben van der Linde,2025-01-01T16:08:57+01:00,larpingapp,Merge pull request #55 from ConductionNL/development,14283/119/01,low,true
0d7b560a476111f9eaa7bc58e4aa817848ce3b79,Ruben van der Linde,2025-01-01T16:07:36+01:00,larpingapp,Audit trail fixes,14283/120/01,medium,false
5223596db2fcdbb7f5e70dd993dce2d4c5e72592,Ruben van der Linde,2025-01-01T15:20:44+01:00,larpingapp,Loading states and search functionality,14283/119/02,high,false
2570c59d417134859c3cb819c86ad0464c4b4141,Ruben van der Linde,2024-12-31T14:45:38+01:00,larpingapp,Keep track of ability calculations,14283/119/01,low,false
7fe2d6b5d20c9ef08da10c02d3a761044cf18097,Ruben van der Linde,2024-12-31T14:13:06+01:00,larpingapp,Gebruik extend ook bij het creëren en opslaan van objecten,14283/119/01,low,false
e4b59196fa173111c970d50b32caeb22b1a7bd8a,Ruben van der Linde,2024-12-31T13:41:09+01:00,larpingapp,Fix for logs and relations on items and players,14283/119/01,low,false
