date,hours,commits,repos,first_commit,last_commit,commit_messages
2025-04-04,15.3,8,openregister,06:11,21:03,Last fixes before refactor | Lets refactor | Sidebar fixes | Fixin the dropdown inputs | First testing | Secondary fixes | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod | More fixes
2025-04-05,2.1,2,openregister,14:49,14:49,Still fixing everythin that broke | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod
2025-04-06,14.1,11,openregister,09:08,22:41,Cleaning up the routing | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod | Lets remove a bit of code duplication | Fixing the audit trails | Bit of refactor on getting single objects | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod | Lets split some code | Fixin the basic objects flow | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod ...
2025-04-07,5.0,4,openregister,06:30,11:16,Fix uses and used | phpcbf | nOOZ | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod
2025-04-09,2.2,5,openregister,05:53,07:44,Small fixes on use and used | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod | First work on configurations | Lets do the config service in a more clean way | First (messy) take on the import part.
2025-04-10,6.5,11,openregister,06:26,12:23,Finishing up on the backend | Linting | Finishing up the linting | Forgot to lint the controllers | Lets add the frontend entity so that we can get started on views | Making it all visual | First filet test results | Removed data from configuration | First mapper fixes | Fix the configuration export modal | Fixing the export modals
2025-04-11,5.6,5,openregister,06:40,12:01,Hook to open connector | Add  OppenConnector to the import | Unset id and uuid | Fixed exporting objects | Fixing the import functions
2025-04-12,12.3,11,openregister,06:04,17:49,Fixin the import form register | Error handling and migration clean up | Dealing with import off cases | Small code cleanup | Lets take a look at including objects in our import | Oke this wil trigger properloading of objects | Fixed and tested object creation | Fixed total responce based on findaal instead of count | Lets deal with uuid inheretence | Bit of data cleanup | Fix uses and used
2025-04-13,2.1,2,openregister,19:04,21:03,Dealing with extend as string | Extend register and schema
2025-04-14,17.8,11,"opencatalogi, openregister",06:37,23:50,Fixen schema extension | Optimalization and cleanup on extending | better order | Opn Api cecs | Opn Api cecs | Basic setup | Basic setup | Oke lets get the models and views into the new world | Oke lets get the models and views into the new world | Update all the dialogs | Update all the dialogs
2025-04-15,4.8,4,opencatalogi,01:36,06:12,Let cleanup some more logs | Let cleanup some more logs | Add the glossery code | Add the glossery code
2025-04-17,18.9,18,"opencatalogi, openregister",04:42,22:43,Fixing a lot of the modals | Fixing a lot of the modals | Lets add tag handling | Small fixes to models and revert on UseFileSelection | Small fixes to models and revert on UseFileSelection | Move FileForm to generic | Move FileForm to generic | Routing bug | Small fixes on new file controller and service | Merge branch 'feature/REGISTERS-4/configuraties' of https://github.com/ConductionNL/OpenRegisters in | Model and list fixes | Model and list fixes | Merge remote-tracking branch 'origin/re...
2025-04-19,4.2,11,"opencatalogi, openregister",08:44,12:25,Add the generation of documention | Improving the OAS specifications | Oas readablitiy fix | Automaticly install and configure Open Register | Automaticly install and configure Open Register | Moved Open Register installation to the boot | Moved Open Register installation to the boot | Lets also configure | Lets also configure | Bug fixes on intitialization | Bug fixes on intitialization
2025-04-20,4.0,5,"opencatalogi, openregister",10:43,14:29,"Lets fix some linting and remove the old OpenApiService | Lets lint our php code, and name services corretly | Merge branch 'documentation' into feature/REGISTERS-4/configuraties | Massive linting fix | Massive linting fix"
2025-04-24,2.1,2,opencatalogi,07:31,07:31,Iets abstractere object store | Iets abstractere object store
2025-04-28,2.0,1,openconnector,07:35,07:35,Allow setting the source ad hock for a synchronisation in the synchronysation service and allow the 
2025-04-29,6.9,3,openregister,07:55,14:41,feature/REGISTERS-136/dashboard | Merge branch 'feature/REGISTERS-4/configuraties' of https://github.com/ConductionNL/OpenRegisters in | Merge remote-tracking branch 'origin/development' into feature/REGISTERS-136/dashboard
2025-04-30,17.0,22,openregister,07:49,23:44,Remove depracticed files an calculate object and log size | In between save for register styling | Lets get some actual data | Orpahned stats | Recalulating registers | Add publishing meganism | Fixing the linting | Merge branch 'feature/REGISTERS-136/dashboard' into documentation | Change requests part 1 | Merge branch 'documentation' of https://github.com/ConductionNL/OpenRegisters into documentation | Last of the code changes | Fixed al the linting errors | Fix the togles | Merge branch 'd...
2025-05-01,20.8,11,openregister,00:21,20:36,Dashboarding first draft | including lint fixes and coding style | First code fixing on the side bar | Feedback fixes | Merge branch 'feature/REGISTERS-136/dashboard' of https://github.com/ConductionNL/OpenRegisters into | Fix migration oversight | Feedback changes | Merge branch 'development' into feature/REGISTERS-136/dashboard | Merge branch 'development' into feature/REGISTERS-136/dashboard | Merge pull request #353 from ConductionNL/feature/REGISTERS-136/dashboard | Lets do a bit more li...
2025-05-02,9.0,8,"openregister, woo-website",07:00,15:38,Register details page | Merge branch 'feature/REGISTERS-136/dashboard' of https://github.com/ConductionNL/OpenRegisters into | Lets setup the basic API's | Update the node version | Fix JSX | acorn fix | Trying to fix | Merge branch 'main' of https://github.com/ConductionNL/woo-website
2025-05-03,14.9,10,openregister,08:17,22:40,Clearing up the dashboard | Working on the sidebar | Graphicly ok dashboard sidebar | Make the dashboard store watch the register and schema store | Small fixes for the dashboard stats | Pass the register and schema to the dashboard endpoint | Getting more detaild dashboards | Description fix | Search sidebar graphics | Prevent deleting if schema's have objects
2025-05-04,7.1,5,openregister,16:54,23:46,Working in the show properties button | Lets ad scheme and property stats | Let log read actions | First setup of the schema details page | Merge remote-tracking branch 'origin/development' into feature/REGISTERS-136/dashboard
2025-05-06,14.7,3,openregister,06:59,21:34,small graphical changes | Merge branch 'development' into feature/REGISTERS-136/dashboard | Merge pull request #362 from ConductionNL/feature/REGISTERS-136/dashboard
2025-05-10,2.0,1,openregister,14:35,14:35,First code on the import/export service
2025-05-11,2.6,6,openregister,21:12,23:29,Fixing the first of the bugs | Clearin up the file import | Setting up the import backend call properly | Lst technical fix on the backend code | First testing and fixing on the import functionality | Add last log to the object documentation
2025-05-12,2.0,1,openregister,06:39,06:39,Lets add the two new desired options
2025-05-13,16.4,4,"openconnector, openregister",06:14,22:29,Merge pull request #375 from ConductionNL/feature/REGISTERS-173/excel-export | Lets start by setting up php react | Lets prepare for async view handling | Bit of cleanup
2025-05-15,10.7,16,"opencatalogi, openconnector, openregister",06:24,16:17,Fix errors in validation | Merge pull request #381 from ConductionNL/hotfix/exception-error | There was still another bug | Validator cant handle array | Lets not commit var_dumps | Lets note down that we should validate arrays | Merge pull request #383 from ConductionNL/hotfix/exception-error | Filter the properties that should not be published | Filter the properties that should not be published | Lets handle array's when exporting a dataset | Merge pull request #247 from ConductionNL/hotfi...
2025-05-16,14.3,2,openconnector,07:11,21:21,Backend configuration setup | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht
2025-05-18,10.2,15,"opencatalogi, openconnector, openregister",14:14,23:40,Support getting al the configuration that is part of a register | Lets properly format the export using slugs | Code cleanup and import function | Started bugfixing | More fixes on the export | Getting the stuf from db | Security and slug updated | Slug friendly rules | Slugs for actions | Lets actually migrate in the migration | Correcting the function name | Lets update our uuid and slug support | Merge pull request #485 from ConductionNL/hotfix/zuiddrecht | Hotfix on attachments | Hotfix o...
2025-05-19,2.1,2,openregister,20:10,20:10,Lets allow softValidated objects | Merge branch 'hotfix/zuiddrecht' of https://github.com/ConductionNL/OpenRegisters into hotfix/zuiddr
2025-05-24,2.2,4,opencatalogi,07:18,07:18,Make open catalogi work for non admin users | Make open catalogi work for non admin users | Merge branch 'hotfix/zuiddrecht' of https://github.com/ConductionNL/opencatalogi into hotfix/zuiddre | Merge branch 'hotfix/zuiddrecht' of https://github.com/ConductionNL/opencatalogi into hotfix/zuiddre
2025-05-26,4.0,9,"opencatalogi, openconnector, openregister",20:14,23:49,Merge remote-tracking branch 'origin/development' into feature/zaakreg-58/zaakregisters | Update project description | Merge branch 'feature/zaakreg-58/zaakregisters' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Allow setting published and depublised trough the @self | Dont show depublished items | Dont show depublished items | Introdue special search _published that shows only published objects | Suporting baseencoded files
2025-05-27,10.6,8,"opencatalogi, openconnector, openregister",00:26,10:36,Making the code just a tadd more readable | Getting the files in a fire and forget manner | Lets keep tabs on the speed of the synhronysation flow | Speedy gonzales | Fix the publication endpoint | Fix the publication endpoint | Merge pull request #415 from ConductionNL/hotfix/zuiddrecht | Merge pull request #498 from ConductionNL/hotfix/speedy
2025-05-29,2.1,3,openregister,06:55,07:53,Lets make the log page work | Fix for double controller | Dropping NC chip
2025-05-31,2.0,1,openregister,10:03,10:03,Making the sidebars work (in progress)
2025-06-01,17.5,5,openregister,06:27,23:44,Good progress on the logs table | Getting most of the audit trail stuff up and running | Lets delete from the trashcan | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Merge branch 'hotfix/zuiddrecht' into development
2025-06-02,18.5,31,"opencatalogi, openconnector, openregister",06:37,23:33,Lets ad a dialog confirmation for deleting items | Merge branch 'hotfix/zuiddrecht' into development | Merge remote-tracking branch 'origin/refactore/openregisters-0.2' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/refactore/openregisters-0.2' into hotfix/zuiddrecht | Removing the old object service | Removing the old object service | Lets make the directory great again | Lets make the directory great again | Merge branch 'hotfix/zuiddrecht' into refactore/openregisters-0.2 | ...
2025-06-04,9.4,8,"openconnector, openregister",06:05,15:04,Small order fix | Handle file deletions on sync (dont merge) | Get better user switching | WIP Delete removed attachements | Let get rid of the debug logging | Merge pull request #504 from ConductionNL/hotfix/zuidrecht-2 | Pale a depracticed | Merge pull request #425 from ConductionNL/hotfix/zuiddrecht
2025-06-07,17.5,9,"openconnector, openregister",06:06,23:09,Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/development' into hotfix/zuidrecht-2 | Lets prepare for the cleaning of audit trails | Better loading icon | Cleaning up the bar | Move the CSS to main | First pagination fixes | Fixin the audit trail page | Bug fixing on deleted and auditrtrail pages
2025-06-08,15.1,10,"opencatalogi, openconnector, openregister",08:00,22:38,First round of comming to a generic ui | finishing of a consistent ui experience | Small bit of maintanance on the sidebars | Refactoring the jobs and first UI implementation | Lets start working on the new generic ui elements | Lets start working on the new generic ui elements | Add proper label | Add proper label | Lets add all the new modal to the views | Lets add all the new modal to the views
2025-06-09,2.4,7,openconnector,22:05,23:40,"First setup of new tabes and separate log pages | Fixig the job logs | Pagination and filtering | Lets get pagination and filtering in order | Proper laoding ste on job logs | Updating all the stores | Bit more fixes, stil not everything in working order but geting there"
2025-06-10,16.1,9,"opencatalogi, openconnector, openregister",06:42,22:21,Route fixes | Still fixing more routes | Run the Job  Logger | Setting up mailing hooks | Started adding screenshots for documentation | Disable wrongfull cron | Disable wrongfull cron | Cleaningup the code a bit | Deleting synchronysation logs
2025-06-12,9.7,18,"opencatalogi, openconnector, openregister",07:03,15:52,Lets start wroking on the EditMapping modal | Merge remote-tracking branch 'origin/development' into hotfix/zuidrecht-2 | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Fix the last file bugs | Fix the last file bugs | Fix for putting objects | Fix for putting objects | Fix file tag updates | Fix file tag updates | File interactions from the object modal | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Finished all the file actions | Ope...
2025-06-14,23.2,12,"opencatalogi, openconnector, openregister",00:25,23:03,Lets grap files directly from the database | Letsd double check to filter out non published files | Letsd double check to filter out non published files | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/development' into hotfix/zuidrecht-2 | Small endpoint fix | fix the mass delete modal | Hooking the publication service into the new searchObects logic | Hooking the publication service into the new searchObects logic | First draf...
2025-06-15,13.4,7,openregister,09:24,22:29,Add paginated search | Lets add enxt and previeus page | Remove the count function | First draft of facets | Use results instead of doc_count | Lets do some final tweaks and add facetable to give the ui an idea where to look | Async thall the faceted stuf
2025-06-16,2.1,2,opencatalogi,20:31,20:31,Starting on a dymanic publications search example | Starting on a dymanic publications search example
2025-06-18,14.8,4,"openconnector, openregister",07:58,22:35,Merge remote-tracking branch 'origin/development' into hotfix/object-search-and-agregation | Merge remote-tracking branch 'origin/development' into hotfix/zuidrecht-2 | Merge remote-tracking branch 'origin/hotfix/zuidrecht-2' into hotfix/zuidrecht-2 | /me endpoint for storing user data
2025-06-19,5.0,10,"opencatalogi, openconnector, openregister",06:27,10:55,Lets add ordering | Lets add ordering | Merge remote-tracking branch 'origin/development' into hotfix/object-search-and-agregation | Merge remote-tracking branch 'origin/development' into hotfix/zuidrecht-2 | Merge branch 'development' into hotfix/new-serach-function | Merge branch 'development' into hotfix/new-serach-function | Merge pull request #440 from ConductionNL/hotfix/object-search-and-agregation | Merge pull request #508 from ConductionNL/hotfix/zuidrecht-2 | Merge pull request #274...
2025-06-23,2.1,3,opencatalogi,21:48,23:18,Lets start discovering other directories again | Lets start agregating our search results (to make  this really work) | Clearing up the agegeted results
2025-06-24,20.2,8,opencatalogi,00:21,20:06,Last bit of clear up and testing | Merge pull request #281 from ConductionNL/feature/federation | Lets fix useing the proper function. | Merge pull request #282 from ConductionNL/feature/federation | /Directories should return a list of listings | Merge pull request #283 from ConductionNL/feature/federation | Let return catalogi in our directory endpoint | Merge pull request #284 from ConductionNL/feature/federation
2025-06-25,19.7,16,opencatalogi,05:00,23:52,ad id to catalog listing | Merge pull request #285 from ConductionNL/feature/federation | lets use catalogId instead of catalog | Merge pull request #286 from ConductionNL/feature/federation | Let prevent a broadcast loop | Merge pull request #287 from ConductionNL/feature/federation | Fix for lege publicatie pagina;s | Merge pull request #288 from ConductionNL/feature/federation | Lets default directories to not available and not default | Merge pull request #289 from ConductionNL/feature/fe...
2025-06-26,14.6,9,opencatalogi,01:47,15:55,Found another bad interface use | Merge pull request #292 from ConductionNL/feature/federation | Bit more directory and styling fixes | Merge pull request #293 from ConductionNL/feature/federation | Proper pagination | Ordering | Merge pull request #294 from ConductionNL/feature/federation | Extend hotfix | Merge pull request #295 from ConductionNL/feature/federation
2025-06-28,15.5,8,opencatalogi,08:09,23:17,Fixing publish and depublish button | Merge pull request #299 from ConductionNL/feature/federation | Bevindingen Ede 28-6 accept omgeving Mass action schermen (Tested on 0.7.3-beta.20) | Merge pull request #300 from ConductionNL/feature/federation | Hotfix bassed on reggresie matt | Small cleanup on fixes | Merge pull request #301 from ConductionNL/feature/federation | Working on date times
2025-06-29,7.0,5,opencatalogi,16:27,23:14,Remove source from results | Merge pull request #302 from ConductionNL/feature/federation | Fixed correctly searching | Hotfix on searching | Lets use our own faceted search
2025-06-30,22.7,3,opencatalogi,01:01,23:32,Visual fixes | Merge pull request #304 from ConductionNL/feature/federation | Ede - regie omgeving aanpassingen
2025-07-01,2.1,2,opencatalogi,00:13,00:15,Fixes to the directory service | Merge pull request #305 from ConductionNL/feature/federation
2025-07-02,2.2,4,opencatalogi,21:13,21:56,Fix on organisation modal and federated faceting | Merge pull request #307 from ConductionNL/feature/federation | Facet hotfix | Merge pull request #308 from ConductionNL/feature/federation
2025-07-08,2.2,4,opencatalogi,21:01,22:19,Merge remote-tracking branch 'origin/development' into feature/federation | Pagination | Fix for label aditing | Merge pull request #321 from ConductionNL/feature/federation
2025-07-10,2.1,2,opencatalogi,06:13,06:19,File loading visualisation | Lint fixes
2025-07-24,2.0,1,opencatalogi,23:12,23:12,Fixin linting errors
2025-07-25,2.0,1,opencatalogi,03:56,03:56,More cors
2025-07-29,2.1,2,opencatalogi,06:58,07:05,Lets optimize the configuration procces | Merge pull request #329 from ConductionNL/hotfix/cors
2025-08-15,15.4,9,opencatalogi,07:57,22:52,Trying to perfect the modals | Merge remote-tracking branch 'origin/beta' into hotfix/cors | Updating the schema's | Update info.xml | Update info.xml | Merge pull request #339 from ConductionNL/hotfix/cors | Lets setup the menu's properly | Merge remote-tracking branch 'origin/hotfix/cors' into hotfix/cors | Merge pull request #340 from ConductionNL/hotfix/cors
2025-08-17,2.1,2,opencatalogi,11:37,11:37,More functions on menu and pages | Merge pull request #341 from ConductionNL/hotfix/cors
2025-08-26,2.1,3,opencatalogi,22:24,22:25,Search optimalisatie | Search optimalisatie | Merge pull request #342 from ConductionNL/hotfix/cors
2025-08-27,2.3,6,opencatalogi,06:07,07:16,Return facets | Hotfix: Hack on the publication controller | Merge branch 'development' into hotfix/cors | Merge pull request #343 from ConductionNL/hotfix/cors | hotfix used and uses | Merge pull request #344 from ConductionNL/hotfix/cors
2025-08-28,2.1,2,opencatalogi,02:00,02:00,Removing error_;og | Merge pull request #345 from ConductionNL/hotfix/cors
2025-09-04,8.0,6,opencatalogi,06:05,13:46,Perfomance upgrade | Merge pull request #346 from ConductionNL/hotfix/cors | Fix facating | Merge remote-tracking branch 'origin/development' into hotfix/cors | Merge pull request #347 from ConductionNL/hotfix/cors | Merge pull request #331 from ConductionNL/feature/OP-514/publish-depublish-attachments
2025-09-14,2.1,2,woo-website,10:52,10:52,Lets save our progress | Merge remote-tracking branch 'origin/main'
2025-09-22,2.2,4,opencatalogi,21:35,23:10,feat: update PublicationsController uses/used endpoints with named parameters | fix: use fresh ObjectService instance for cross-register/schema searches in uses/used endpoints | fix: remove extend parameter from search query in uses/used endpoints | fix: allow access to attachments of published objects regardless of catalog restrictions
2025-09-23,2.1,2,opencatalogi,00:01,00:02,style: fix whitespace in comment for consistency | Merge pull request #356 from ConductionNL/hotfix/slug-searching-database
2025-09-24,5.6,4,"Softwarecatalogus, opencatalogi",04:21,09:47,fix: improve PublicationsController searchObjectsPaginated calls | Merge pull request #357 from ConductionNL/hotfix/slug-searching-database | Create 2025-09-24 | Rename 2025-09-24 to 2025-09-24.md
2025-10-01,2.2,4,opencatalogi,18:14,18:16,update | Delete allows the system to use the most appropriate data source (database or SOLR) | Delete ource = index' parameter from MenusController and PagesController | Merge pull request #361 from ConductionNL/feature/enhance-publication-management
2025-10-02,14.6,8,opencatalogi,01:29,15:38,fix(publications): disable published filtering to resolve zero results issue | Merge pull request #362 from ConductionNL/feature/enhance-publication-management | hotfix(publications): update controller comments for SOLR filtering hotfix | Merge pull request #363 from ConductionNL/feature/enhance-publication-management | fix(publications): replace broken search-based object fetching with direct find() calls | debug: add die statements for API endpoint testing | cleanup: remove debug die statem...
2025-10-05,2.1,3,opencatalogi,09:11,11:11,Getting the menus changable again | deleting menu items fix | Merge pull request #365 from ConductionNL/feature/enhance-publication-management
2025-10-06,2.0,1,opencatalogi,06:11,06:11,Merge pull request #366 from ConductionNL/development
2025-10-09,4.8,4,opencatalogi,01:31,06:08,Bad hotfix | Merge pull request #367 from ConductionNL/feature/enhance-publication-management | missed a spot | Merge pull request #368 from ConductionNL/feature/enhance-publication-management
2025-10-13,2.1,2,opencatalogi,20:33,20:37,Lets only take the published objects for used and uses | Merge pull request #370 from ConductionNL/feature/enhance-publication-management
2025-10-22,15.7,3,opencatalogi,07:05,22:36,Correctly filtering for publications | Route fix | Merge pull request #378 from ConductionNL/feature/enhance-publication-management
2025-10-26,2.0,1,opencatalogi,19:53,19:53,Merge remote-tracking branch 'origin/development' into feature/enhance-publication-management
2025-12-25,2.3,6,rubenlinde,21:29,22:13,Blog einde pag americana | fix:add-white-background-for-blog-containers-in-light-mode | Omzetten footnotes | Cleaning up the blogs post | Add blog open source mkb | Add onetisch
2025-12-28,5.5,2,rubenlinde,11:06,16:33,Working on the blogs | More blog
2025-12-30,2.0,1,rubenlinde,00:41,00:41,Update the blogs
