date,hours,commits,repos,first_commit,last_commit,commit_messages
2025-10-14,2.1,2,opencatalogi,11:53,11:53,Lets raise the limit for finding related items | Merge pull request #371 from ConductionNL/feature/enhance-publication-management
2025-10-15,5.2,5,opencatalogi,09:55,14:55,Lets not extend on the index | Lets refactor the broken fix | Merge pull request #373 from ConductionNL/feature/enhance-publication-management | Fixing used and uses | Merge pull request #374 from ConductionNL/feature/enhance-publication-management
2025-10-16,2.2,4,opencatalogi,10:23,11:38,Remove force to index | Merge pull request #375 from ConductionNL/feature/enhance-publication-management |  Voorkom dat niet gepubliceerde objecten gepubliceerd worden ;) | used/uses
2025-10-20,2.0,1,opencatalogi,12:05,12:05,Working on filtering
2025-10-23,2.1,3,opencatalogi,09:36,10:56,Unnused facets | Hotfic on the catalog check | Merge pull request #380 from ConductionNL/feature/enhance-publication-management
2025-10-27,12.1,4,opencatalogi,09:58,21:50,Hotfix: making pages visable | Merge pull request #385 from ConductionNL/feature/enhance-publication-management | Fix on published | Merge pull request #387 from ConductionNL/feature/enhance-publication-management
2025-10-28,3.0,6,opencatalogi,09:30,12:09,Trying to fix the uses endpoint | Merge pull request #388 from ConductionNL/feature/enhance-publication-management | Hotfix for catalogi filtering | Merge pull request #389 from ConductionNL/feature/enhance-publication-management | Hotfix: tabs | Merge pull request #390 from ConductionNL/feature/enhance-publication-management
2025-11-18,2.2,4,test-configuration,13:03,14:20,Create readme.md | Configuration test | Lets update a next file | Lets update a next file
2025-12-22,8.4,4,rubenlinde,14:56,23:09,Initial commit | First commits | Add stuff about halicuneren | Spell check
2025-12-23,14.6,80,rubenlinde,13:23,23:59,Add fabulous landing page with network animation and reusable blog card component | Fix feature card transparency and consistent orange colors | Avatar update | Update tagline to 'Open Source Enthusiast' | Fix GitHub Actions workflow - upgrade to Node.js 20 | Add homepage navbar customization - show only language selector and theme toggle | Create CNAME | Hide left navbar items on homepage - CSS-only approach | Fix homepage navbar - add Root component to ensure left items are hidden | Update ...
2025-12-29,11.0,20,rubenlinde,11:26,21:29,Blog updates en linting | Forgot some blogs | Cleaning up the blogs | feat:mermaid-support-and-optimized-tags | fix:remove-inline-mermaid-styles-use-css-instead | feat:add-home-link-to-navbar |  feat: configure Mermaid theme with orange borders and dark blue arrows |  fix: format bronverwijzingen als ankers zoals in Pax Americana blog |  fix: make blog dates readable in light mode |  fix: make Mermaid diagrams theme-aware for both light and dark mode | chore: remove obsolete tags | feat: add ...
2025-12-31,2.3,3,rubenlinde,10:41,12:50,Lets deploy the updates | Fixing the blogs | Fixing de bronvermeldingen
